url,outlet,published_at,title,words,обещание_заголовка,обещание_выполнено,чем_открывается,чем_удерживает,факт_интерпретация_мнение,на_что_опирается,тон,адресат,чем_заканчивается,самодостаточность,заметка
https://www.gazeta.uz/ru/2026/07/17/landfill,Gazeta.uz,2026-07-17T14:16:29+05:00,"Загрязнение воздуха после пожара на полигоне в Ташобласти превысило норму в 12,8 раза",332,"загрязнение превысило норму в 12,8 раза",да,факт,цифры и конфликт,факт + контекст,"Нацкомитет по экологии, прямая цитата чиновника",нейтральный,массовый,развитие темы,да,"образец: цифра из заголовка подтверждена в тексте, назван ответственный"
https://www.gazeta.uz/ru/2026/07/20/korea-medical-tourism,Gazeta.uz,2026-07-20T19:00:13+05:00,В Ташкенте представили возможности медицинского туризма Южной Кореи для жителей Узбекистана,959,в Ташкенте представили медтуризм Южной Кореи,частично,факт,ничего,факт + оценка,пресс-конференция организатора,продающий,массовый,ничего,да,"по сути партнёрский материал, пометки о рекламе нет"
https://www.gazeta.uz/ru/2026/07/29/tashtech,Gazeta.uz,2026-07-29T13:00:39+05:00,TashTech: каких специалистов Узбекистан будет искать через 10 лет и как выбрать подходящий вуз,1118,каких инженеров будет искать страна и как выбрать вуз,да,сцена,практическая польза,факт + интерпретация,данные вуза,продающий,массовый,вывод,да,"нативная реклама вуза в форме объяснителя, пометки нет"
https://www.gazeta.uz/ru/2026/07/29/tournament,Gazeta.uz,2026-07-29T19:17:15+05:00,Шавкат Мирзиёев принял участие в открытии «Игр будущего» в Астане,118,Мирзиёев участвовал в открытии «Игр будущего»,да,факт,имя-ньюсмейкер,только факт,пресс-служба,нейтральный,массовый,отсылка,да,
https://www.gazeta.uz/ru/2026/07/09/mobiuz,Gazeta.uz,2026-07-09T11:00:41+05:00,На скорости 5G: как Mobiuz меняет связь в Ферганской долине,321,как Mobiuz меняет связь в Ферганской долине,да,общее рассуждение,цифры,факт + оценка,данные компании,продающий,массовый,анонс следующего материала,да,помечено «На правах рекламы» — в отличие от [11] и [12]
https://www.gazeta.uz/ru/2026/07/16/ambassador,Gazeta.uz,2026-07-16T13:13:22+05:00,Посол Германии Манфред Хутерер завершает миссию в Узбекистане,92,посол Германии завершает миссию,да,факт,имя-ньюсмейкер,только факт,"Telegram МИД, цитата",нейтральный,массовый,ничего,да,
https://kun.uz/ru/news/2026/07/30/v-uzbekistane-na-obshchestvennoye-obsujdeniye-vynesen-proyekt-o-novom-poryadke-otsenki-studentov,Kun.uz,2026-07-30T12:22:00+05:00,В Узбекистане на общественное обсуждение вынесен проект о новом порядке оценки студентов,863,на обсуждение вынесен новый порядок оценки студентов,да,факт,практическая польза,только факт,regulation.gov.uz — первичный документ,нейтральный,массовый,ничего,да,начинается с итога голосования на портале — сильный ход
https://kun.uz/ru/news/2026/07/16/v-rossii-planiruyut-obyazat-migrantov-priobretat-telefony-s-elektronnym-profilem-51d54e,Kun.uz,2026-07-16T16:43:11+05:00,В России планируют обязать мигрантов приобретать телефоны с электронным профилем,211,мигрантов обяжут покупать телефон с электронным профилем,да,факт,конфликт,только факт,"чужая публикация РБК, цитата",нейтральный,массовый,ничего,да,
https://kun.uz/ru/news/2026/07/09/k-2030-godu-defitsit-vody-dostignet-15-mlrd-kubometrov-ministr-vodnogo-xozyaystva-shavkat-xamroyev-80237d,Kun.uz,2026-07-09T00:11:32+05:00,«К 2030 году дефицит воды достигнет 15 млрд кубометров» — министр водного хозяйства Шавкат Хамроев,317,дефицит воды достигнет 15 млрд кубометров,да,факт,цифры и эксклюзив,факт + контекст,"собственный сбор: корреспондент в Нью-Йорке, ответы министра",нейтральный,массовый,развитие темы,да,единственный в выборке случай собственной работы в поле за рубежом
https://kun.uz/ru/news/2026/07/08/grajdaninu-uzbekistana-pomogli-vernutsya-na-rodinu-iz-serbii-ff7a5a,Kun.uz,2026-07-08T17:54:06+05:00,Гражданину Узбекистана помогли вернуться на родину из Сербии,82,гражданину помогли вернуться из Сербии,да,факт,ничего,только факт,ИА «Дунё»,нейтральный,массовый,ничего,да,"тот же релиз, что и у Yuz.uz [65] — параллельная перепечатка"
https://kun.uz/ru/news/2026/08/04/deputaty-odobrili-proyekt-konstitutsionnogo-zakona-opredelyayushchego-mexanizmy-raboty-administratsii-prezidenta,Kun.uz,2026-08-04T16:38:00+05:00,"Депутаты одобрили проект конституционного закона, определяющего механизмы работы Администрации президента",110,депутаты одобрили закон об Администрации президента,да,факт,имя-ньюсмейкер,только факт,"релиз, цитата",нейтральный,массовый,ничего,частично,без контекста первого чтения понятно не всё
https://kun.uz/ru/news/2026/07/11/na-uzbeksko-kazaxstanskoy-granitse-vnedryat-tsifrovoy-tamojyennyy-kontrol-3b4c1c,Kun.uz,2026-07-11T21:04:01+05:00,На узбекско-казахстанской границе внедрят цифровой таможенный контроль,194,на границе с Казахстаном внедрят цифровой контроль,да,факт,ничего,только факт,УзА,официозный,массовый,ничего,да,
https://kun.uz/ru/news/2026/07/28/sbornaya-uzbekistana-sygrayet-tovarishcheskiy-match-s-yujnoy-koreyey,Kun.uz,2026-07-28T16:09:00+05:00,Сборная Узбекистана сыграет товарищеский матч с Южной Кореей,75,сборная сыграет с Южной Кореей,да,факт,имя-ньюсмейкер,только факт,Ассоциация футбола,нейтральный,массовый,отсылка,да,
https://kun.uz/ru/news/2026/07/27/energosistemu-uzbekistana-podvergnut-stress-auditu,Kun.uz,2026-07-27T17:59:00+05:00,Энергосистему Узбекистана подвергнут стресс-аудиту,167,энергосистему подвергнут стресс-аудиту,частично,факт,цифры,только факт,пресс-служба президента,нейтральный,массовый,ничего,нет,"текст начинается с «Однако…» — первый абзац оторван, заголовок и лид о разном"
https://leap.uz/ru/2026/08/06/uzsuv-kwater-cooperation-training-aug2026,LEAP News,2026-08-06T20:01:00+05:00,«Узсувтаъминот» и K-Water обновили программы подготовки кадров для водной отрасли,241,«Узсувтаъминот» и K-Water обновили программы подготовки,да,факт,перечень направлений,только факт,публикация компании,нейтральный,профильный,контекст и признание неизвестного,да,"прямо сказано, чего в источнике нет: дат, числа слушателей, сумм"
https://leap.uz/ru/2026/08/04/social-protection-reform-2026,LEAP News,2026-08-03T16:30:00+05:00,"Мирзиёев одобрил предложения по реформе соцзащиты: льготы, бездомные, торговля людьми",658,одобрены предложения по реформе соцзащиты,да,факт,практическая польза,только факт,сайт президента,нейтральный,массовый,«что дальше»,да,
https://leap.uz/ru/2026/08/04/world-pentagon-patriot-thaad-contracts,LEAP News,2026-08-04T16:51:00+05:00,Пентагон заключил контракты на $3 млрд для наращивания выпуска Patriot и THAAD,472,Пентагон заключил контракты на $3 млрд,да,факт,цифры,только факт,"пресс-релиз Northrop, Al Jazeera, «Ведомости», SCMP",нейтральный,массовый,«что дальше»,да,расхождение источников по дате указано прямо в тексте
https://leap.uz/ru/2026/08/01/uzbekistan-gdp-h1-2026-growth-85pct,LEAP News,2026-08-01T11:00:00+05:00,"ВВП Узбекистана вырос на 8,5% в первом полугодии 2026 года — до 1 072,7 трлн сумов",382,"ВВП вырос на 8,5% — до 1 072,7 трлн сумов",да,факт,цифры,факт + контекст,"Нацкомстат, ЦБ, МВФ",экспертный,деловой,«что дальше»,да,"оговорка, что выпуск по секторам не складывается в ВВП — редкая аккуратность"
https://leap.uz/ru/2026/08/06/uzbekistan-phygital-football-spain-53,LEAP News,2026-08-06T16:13:00+05:00,Сборная Узбекистана по фигитал-футболу обыграла Испанию 5:3 в Астане,249,сборная обыграла Испанию 5:3,да,факт,результат,только факт,"Минспорта, проверка по сайту организатора",нейтральный,массовый,«что дальше»,да,"сказано, что независимо подтвердить статус сборной не удалось"
https://leap.uz/ru/2026/08/06/meta-anthropic-openai-ai-hacked-systems-safety-tests,LEAP News,2026-08-06T18:02:00+05:00,"Meta, Anthropic и OpenAI признали: их ИИ-модели взломали чужие системы на тестах",748,три ИИ-лаборатории признали взломы на тестах,да,факт,конфликт,только факт,"Al Jazeera, отчёт британского AISI",нейтральный,профильный,«что дальше»,да,
https://leap.uz/ru/2026/08/07/bukhara-medvuz-admission-bribery-arrest-aug2026,LEAP News,2026-08-07T21:22:00+05:00,Департамент сообщил о задержании в Бухарской области посредника за 26 млн сумов,204,задержан посредник за 26 млн сумов,да,факт,цифры,только факт,департамент Генпрокуратуры,нейтральный,массовый,правовая оговорка,да,"прямо сказано, что вина не установлена"
https://leap.uz/ru/2026/08/06/napp-capital-markets-law-draft,LEAP News,2026-08-06T13:46:00+05:00,НАПП рассказало о законопроекте «О рынке капитала» по международным стандартам,218,НАПП рассказало о законопроекте о рынке капитала,да,факт,перечень инструментов,только факт,"НАПП, пресс-служба палаты, сайт президента",нейтральный,деловой,контекст,да,
https://podrobno.uz/cat/politic/v-uzbekistane-nachal-rabotu-novyy-posol-pakistana,Podrobno.uz,2026-07-22T00:00:00+05:00,В Узбекистане начал работу новый посол Пакистана,116,новый посол Пакистана начал работу,да,факт,ничего,только факт,МИД,официозный,массовый,отсылка,да,"текст открывается фирменной строкой «Узбекистан, Ташкент – АН Podrobno.uz»"
https://podrobno.uz/cat/proisshestviya/skonchalsya-voditel-chevrolet-onix-postradavshiy-v-rezonansnom-dtp-s-patrulnymi-mototsiklami,Podrobno.uz,2026-07-29T00:00:00+05:00,"Скончался водитель Chevrolet Onix, пострадавший в резонансном ДТП с патрульными мотоциклами",182,"скончался водитель, пострадавший в резонансном ДТП",да,факт,конфликт,только факт,"чужая публикация Daryo, данные РНЦЭМП",нейтральный,массовый,развитие темы,да,прямая ссылка на конкурента как на источник
https://podrobno.uz/cat/obchestvo/v-tashkente-na-chetyre-dnya-perekryli-uchastok-maloy-koltsevoy-dorogi-i-izmenili-marshruty-avtobusov,Podrobno.uz,2026-08-07T00:00:00+05:00,В Ташкенте на четыре дня перекрыли участок Малой кольцевой дороги и изменили маршруты автобусов,121,"перекрыт участок Малой кольцевой, изменены маршруты",да,факт,практическая польза,только факт,Тошшахартрансхизмат,нейтральный,массовый,рекомендация,да,
https://podrobno.uz/cat/proisshestviya/na-granitse-kyrgyzstana-i-uzbekistana-nashli-podzemnyy-tunnel-kotoryy-mogli-ispolzovat-kontrabandist,Podrobno.uz,2026-07-30T00:00:00+05:00,"На границе Кыргызстана и Узбекистана нашли подземный туннель, который могли использовать контрабандисты",117,на границе нашли подземный туннель,да,факт,конфликт,только факт,УВД Кыргызстана,нейтральный,массовый,отсылка,да,
https://podrobno.uz/cat/economic/strany-eaes-zapustyat-sistemu-otslezhivaniya-torgovli-bytovoy-tekhnikoy,Podrobno.uz,2026-08-07T00:00:00+05:00,Страны ЕАЭС запустят систему отслеживания торговли бытовой техникой,174,страны ЕАЭС запустят прослеживаемость техники,да,факт,ничего,только факт,заявление главы коллегии ЕЭК,нейтральный,деловой,отсылка,да,внизу пометка «Изображение сгенерировано ИИ»
https://podrobno.uz/cat/politic/uzbekistan-predstavit-svoe-kulturnoe-nasledie-na-krupneyshikh-mirovykh-ploshchadkakh,Podrobno.uz,2026-07-17T00:00:00+05:00,Узбекистан представит свое культурное наследие на крупнейших мировых площадках,432,Узбекистан представит наследие на мировых площадках,да,факт,перечень площадок,только факт,"программа, представленная президенту",официозный,массовый,ничего,да,
https://podrobno.uz/cat/politic/mirziyeev-poruchil-podgotovit-energosistemu-uzbekistana-k-bespereboynoy-rabote-zimoy,Podrobno.uz,2026-08-06T00:00:00+05:00,Мирзиёев поручил подготовить энергосистему Узбекистана к бесперебойной работе зимой,330,Мирзиёев поручил подготовить энергосистему к зиме,да,факт,ничего,только факт,пресс-служба,официозный,массовый,ничего,да,
https://podrobno.uz/cat/politic/shavkat-mirziyeev-prinyal-delegatsiyu-belarusi-vo-glave-s-vitse-premerom-viktorom-karankevichem,Podrobno.uz,2026-07-20T00:00:00+05:00,Шавкат Мирзиёев принял делегацию Беларуси во главе с вице-премьером Виктором Каранкевичем,132,Мирзиёев принял делегацию Беларуси,да,факт,имя-ньюсмейкер,только факт,пресс-служба,официозный,массовый,ничего,да,«главе нашего государства» — редакция говорит от лица страны
https://repost.uz/govoryat-dast-prozrachnost,Repost.uz,2026-08-04T13:17:00+05:00,В Казахстане предложили изменить правила въезда для иностранцев,96,в Казахстане предложили менять правила въезда,да,факт,практическая польза,только факт,чужая публикация Nur.kz,нейтральный,массовый,призыв подписаться на канал,да,
https://repost.uz/tut-teper-otvetit-pered-zakonom,Repost.uz,2026-07-18T11:00:00+05:00,"Из Польши в Узбекистан доставили мужчину, находившегося в розыске по линии Интерпола",85,из Польши доставили разыскиваемого Интерполом,да,факт,ничего,только факт,ИА «Дунё»,нейтральный,массовый,призыв подписаться на канал,да,
https://repost.uz/xotyat-objalovat-reshenie,Repost.uz,2026-07-28T11:47:00+05:00,Швейцарский суд оштрафовал банк Lombard Odier на 3 млн франков по делу Каримовой,362,швейцарский суд оштрафовал банк по делу Каримовой,да,факт,цифры и имя,только факт,Swissinfo,нейтральный,массовый,ничего,частично,без контекста дела Каримовой читается наполовину
https://repost.uz/chto-tam-da-kak,Repost.uz,2026-07-20T20:31:00+05:00,Власти Узбекистана определили порядок работы бондовых складов,232,определён порядок работы бондовых складов,да,факт,перечень требований,только факт,Norma со ссылкой на постановление,нейтральный,деловой,определение термина,да,
https://repost.uz/v-celom-obsudili-povestku,Repost.uz,2026-07-24T16:12:00+05:00,Шавкат Мирзиёев созвонился с президентом Ирана Масудом Пезешкианом,106,Мирзиёев созвонился с президентом Ирана,да,факт,имя-ньюсмейкер,только факт,пресс-служба,официозный,массовый,призыв подписаться на канал,да,
https://repost.uz/kachaem-trudovie-otnosheniya,Repost.uz,2026-07-14T20:36:00+05:00,"В Узбекистане сократят перечень документов, требуемых при приеме на работу",144,сократят перечень документов при приёме на работу,да,факт,практическая польза,только факт,пресс-служба палаты,нейтральный,массовый,призыв подписаться на канал,да,
https://repost.uz/vnutrennix-turistov-eshe-bolshe,Repost.uz,2026-07-23T10:11:00+05:00,За полгода Ташкент посетили более 3 млн иностранных туристов,85,Ташкент посетили более 3 млн иностранных туристов,да,факт,цифры,только факт,хокимият,нейтральный,массовый,призыв подписаться на канал,да,
https://repost.uz/nakruti-i-tut-presekli,Repost.uz,2026-07-10T10:49:00+05:00,В Узбекистане выявили свыше 148 тысяч случаев завышения цен на лекарства,97,выявлено 148 тысяч случаев завышения цен на лекарства,да,факт,цифры,только факт,Комитет по конкуренции,нейтральный,массовый,призыв подписаться на канал,да,
https://www.spot.uz/ru/2026/07/17/id-amendments,Spot.uz,2026-07-17T10:02:43+05:00,В Узбекистане планируют отменить штраф за утерю паспорта или ID-карты,250,планируют отменить штраф за утерю паспорта,да,отсылка на свой прошлый материал,практическая польза,только факт,указ,нейтральный,массовый,отсылка на свой материал,частично,
https://www.spot.uz/ru/2026/07/31/real-estate,Spot.uz,2026-07-31T17:45:29+05:00,Число сделок с недвижимостью в первом полугодии 2026 года выросло на 25% — ЦЭИР,239,сделки с недвижимостью выросли на 25%,да,факт,цифры,факт + контекст,отчёт ЦЭИР,экспертный,деловой,отсылка на свой материал,да,
https://www.spot.uz/ru/2026/07/10/belarus-projects,Spot.uz,2026-07-10T00:44:14+05:00,Узбекистан и Беларусь запустят семь новых совместных производств на $164 млн,197,Узбекистан и Беларусь запустят семь производств на $164 млн,да,факт,цифры,только факт,собственный сбор: комментарий секретариата вице-премьера,нейтральный,деловой,отсылка на свой материал,да,«Об этом Spot сообщили в секретариате» — эксклюзивный комментарий
https://www.spot.uz/ru/2026/08/06/akfa,Spot.uz,2026-08-06T19:00:23+05:00,"В AKFA рассказали, как отличить качественные ПВХ-окна",275,как отличить качественные ПВХ-окна,да,общее рассуждение,практическая польза,факт + оценка,данные компании,продающий,массовый,контакты компании,да,помечено «На правах рекламы»
https://www.spot.uz/ru/2026/08/03/crypto-fines,Spot.uz,2026-08-03T14:55:11+05:00,Для иностранных криптобирж могут ввести штрафы за незаконную работу до 11 млрд сумов,360,иностранным криптобиржам грозят штрафы до 11 млрд сумов,да,факт,цифры,только факт,проект на портале обсуждения,нейтральный,деловой,ничего,да,"суммы штрафов остались в таблице, в текст не вынесены"
https://www.spot.uz/ru/2026/08/03/edelweiss-samarkand,Spot.uz,2026-08-03T09:58:20+05:00,Под Самаркандом начал работу туристический комплекс за $22 млн,179,под Самаркандом открылся комплекс за $22 млн,да,факт,цифры,факт + оценка,"Комитет по туризму, хокимият",нейтральный,массовый,отсылка на свой материал,да,
https://www.spot.uz/ru/2026/07/27/uzum-record-bonds,Spot.uz,2026-07-27T09:54:07+05:00,Uzum разместит рекордный выпуск корпоративных облигаций — на 600 млрд сумов,229,Uzum разместит рекордный выпуск облигаций на 600 млрд сумов,да,факт,цифры,факт + контекст,"Ташкентская фондовая биржа, история выпусков",экспертный,деловой,отсылка на свой материал,да,весь ряд предыдущих размещений со ставками — редкая для рынка глубина
https://www.spot.uz/ru/2026/07/09/diesel,Spot.uz,2026-07-09T00:15:16+05:00,Россия полностью запретила экспорт дизельного топлива,218,Россия полностью запретила экспорт дизеля,да,факт,практическая польза,только факт,"постановление, цитата вице-премьера",нейтральный,деловой,отсылка на свой материал,да,"объяснено, почему поставки в Узбекистан не затронуты"
https://uznews.uz/ru/news/111851,UzNews.uz,2026-08-07T00:00:00+05:00,В Узбекистане зафиксированы массовые кибератаки на серверы госорганизаций,246,массовые кибератаки на серверы госорганизаций,да,факт,практическая польза,только факт,UZCERT,нейтральный,профильный,рекомендации,да,
https://www.uznews.uz/ru/news/111689,UzNews.uz,2026-08-03T00:00:00+05:00,В школах Узбекистана введут КПП и ограничат доступ для посторонних,264,в школах введут КПП и ограничат доступ посторонним,да,факт,практическая польза,только факт,постановление Кабмина,нейтральный,массовый,ничего,да,
https://www.uznews.uz/ru/news/111577,UzNews.uz,2026-07-29T00:00:00+05:00,Шавкат Мирзиёев принял участие в церемонии открытия «Игр будущего»,149,Мирзиёев участвовал в открытии «Игр будущего»,да,факт,имя-ньюсмейкер,только факт,пресс-служба,нейтральный,массовый,отсылка,да,фактура совпадает с материалом Gazeta.uz [13] почти дословно
https://uznews.uz/ru/news/111841,UzNews.uz,2026-08-07T00:00:00+05:00,Еще одна возможность для работы в США: Узбекистан заключил соглашение в сфере аграрной миграции,142,ещё одна возможность для работы в США,частично,факт,практическая польза,факт + оценка,Агентство по миграции,продающий,массовый,указание на телеграм-канал,да,"компания-работодатель не названа, заголовок обещает больше, чем даёт текст"
https://www.uznews.uz/ru/news/111363,UzNews.uz,2026-07-21T00:00:00+05:00,«Голубые купола» вернутся к своему первоначальному облику — агентство,223,«Голубые купола» вернут к первоначальному облику,да,отсылка на свой прошлый материал,конфликт,только факт,"Агентство культурного наследия, цитаты",нейтральный,массовый,цитата-вывод,частично,
https://www.uznews.uz/ru/news/111540,UzNews.uz,2026-07-28T00:00:00+05:00,В Навоийской области на волю выпустили 778 дроф-красоток,100,на волю выпустили 778 дроф-красоток,да,факт,цифры,только факт,Нацкомитет по экологии,нейтральный,массовый,ничего,да,
https://uznews.uz/ru/news/111827,UzNews.uz,2026-08-07T00:00:00+05:00,В Ургенче водитель BYD протаранил несколько автомобилей — видео,131,водитель BYD протаранил несколько автомобилей,да,отсылка на соцсети,конфликт,только факт,УВД области,нейтральный,массовый,ничего,да,
https://www.uznews.uz/ru/news/111455,UzNews.uz,2026-07-24T00:00:00+05:00,В Ангрене жених и невеста погибли от отравления угарным газом,108,жених и невеста погибли от угарного газа,да,факт,конфликт,только факт,телепрограмма «Миллар»,нейтральный,массовый,ничего,да,"возраст и родство погибших названы, имена — нет"
https://yuz.uz/ru/news/zdravooxranenie-upravlenie-otvetstvennost-doverie,Yuz.uz,2026-07-30T09:52:55+05:00,"Здравоохранение: управление, ответственность, доверие",1286,"здравоохранение: управление, ответственность, доверие",частично,общее рассуждение,ничего,мнение,указ,официозный,чиновник,вывод-лозунг,да,авторская статья к указу без пометки «мнение» — оценка смешана с фактом
https://yuz.uz/ru/news/grajdaninu-uzbekistana-okazano-sodeystvie-v-vozvraenii-iz-serbii-na-rodinu,Yuz.uz,2026-07-08T10:36:00+05:00,Гражданину Узбекистана оказано содействие в возвращении из Сербии на родину,62,гражданину помогли вернуться из Сербии,да,факт,ничего,только факт,ИА «Дунё»,официозный,массовый,ничего,да,"тот же релиз, что у Kun.uz [19]"
https://yuz.uz/ru/news/tashkent-razvivaet-sotrudnichestvo-s-yaponiey-v-sfere-jkx-i-energoeffektivnogo-upravleniya-domami,Yuz.uz,2026-07-28T09:36:00+05:00,Ташкент развивает сотрудничество с Японией в сфере ЖКХ и энергоэффективного управления домами,124,Ташкент развивает сотрудничество с Японией по ЖКХ,да,факт,ничего,только факт,хокимият,официозный,чиновник,ничего,да,ни одной цифры на весь материал
https://yuz.uz/ru/news/molodej-uzbekistana-dobilas-vsokix-rezultatov-na-mejdunarodnom-,Yuz.uz,2026-07-27T11:19:00+05:00,Молодежь Узбекистана добилась высоких результатов на международном соревновании по робототехнике (WRS),148,молодёжь добилась высоких результатов на WRS,да,факт,ничего,факт + оценка,пресс-служба,официозный,массовый,призыв обращаться в офис,да,
https://yuz.uz/ru/news/v-uzbekistane-opredelen-poryadok-perexoda-bankov-i-mfo-na-islamskuyu-bankovskuyu-deyatelnost,Yuz.uz,2026-08-07T12:43:23+05:00,В Узбекистане определен порядок перехода банков и МФО на исламскую банковскую деятельность,175,определён порядок перехода банков на исламский банкинг,да,факт,перечень процедур,только факт,"Минюст, номер закона",официозный,профильный,ничего,нет,"сплошной канцелярит, без знания закона не читается"
https://yuz.uz/ru/news/predstavitel-gp-navoiyuran-prinyat-v-mejdunarodnuyu-texnicheskuyu-rabochuyu-gruppu-magate-,Yuz.uz,2026-07-13T15:13:00+05:00,Представитель ГП «Навоийуран» принят в международную техническую рабочую группу МАГАТЭ,116,представитель «Навоийуран» принят в группу МАГАТЭ,да,факт,ничего,только факт,PR-служба предприятия,официозный,профильный,ничего,да,подписано «PR-служба ГП «Навоийуран»» — релиз без обработки
https://yuz.uz/ru/news/prognoz-pogod-na-den-3-avgusta-,Yuz.uz,2026-08-03T08:25:00+05:00,Прогноз погоды на день 3 августа,45,прогноз погоды на 3 августа,да,факт,практическая польза,только факт,Узгидромет,нейтральный,массовый,ничего,да,
https://yuz.uz/ru/news/v-uzbekistane-lgotne-kategorii-grajdan-smogut-besplatno-ili-so-skidkoy-puteshestvovat-po-strane,Yuz.uz,2026-08-04T13:00:00+05:00,В Узбекистане льготные категории граждан смогут бесплатно или со скидкой путешествовать по стране,160,льготники смогут путешествовать бесплатно или со скидкой,частично,общее рассуждение,практическая польза,факт + оценка,"тот же пакет мер, что в [25]",официозный,массовый,лозунг,частично,"та же новость, что у LEAP [25], но подана как достижение"
