event_id,event,outlet,channel,url,headline,published_at,lag_hours,first,words,named_sources,quotes,primary_doc_links,clickbait_headline,returns,return_at,depth
4,"постоянной, основе, визовые, залоги, граждан, стран",Gazeta.uz,telegram,https://t.me/gazetauz/63315,США с 3 августа начнут на постоянной основе взимать залог при подаче заявлений на туристические,2026-08-03T14:33:01+05:00,46.9,False,51,0,0,0,False,0,,только факт
5,"домогательств, штраф, девушке, сырдарье, отменил, сырдарьинской",UzNews.uz,telegram,https://t.me/uznews/48576,"В Сырдарье отменили штраф девушке, которая кричала, защищаясь от домогательств",2026-08-03T20:03:32+05:00,0.0,True,40,0,0,0,False,0,,только факт
5,"домогательств, штраф, девушке, сырдарье, отменил, сырдарьинской",Gazeta.uz,telegram,https://t.me/gazetauz/63325,"Суд в Сырдарьинской области назначил 18-летней девушке штраф в размере 1,24 млн сумов за мелкое",2026-08-03T20:08:15+05:00,0.1,False,64,0,0,0,False,0,,только факт
5,"домогательств, штраф, девушке, сырдарье, отменил, сырдарьинской",Repost.uz,telegram,https://t.me/RepostUZ/85103,"В Сырдарье отменили штраф девушке, которая кричала, защищаясь от домогательств со стороны бывшего тренера",2026-08-03T20:29:48+05:00,0.4,False,50,0,1,0,False,0,,только факт
5,"домогательств, штраф, девушке, сырдарье, отменил, сырдарьинской",Kun.uz,telegram,https://t.me/kunuzru/73552,"Суд отменил штраф девушке, криком защищавшейся от домогательств",2026-08-04T11:20:06+05:00,15.3,False,83,0,0,0,False,0,,только факт
6,"должностных, отношении, уголовное, прокуратура, logistics, сноса",Spot.uz,telegram,https://t.me/spotuz/39253,По факту сноса дома и строительства ЖК New Port в Ташкенте возбуждено уголовное дело,2026-08-04T11:33:27+05:00,0.0,True,132,2,0,0,False,0,,контекст
6,"должностных, отношении, уголовное, прокуратура, logistics, сноса",UzNews.uz,telegram,https://t.me/uznews/48584,В Ташкенте возбудили уголовное дело после сноса дома до завершения выселения жильцов — видео,2026-08-04T12:05:32+05:00,0.5,False,41,0,0,0,False,0,,только факт
6,"должностных, отношении, уголовное, прокуратура, logistics, сноса",Gazeta.uz,telegram,https://t.me/gazetauz/63332,В отношении должностных лиц Mega Logistics Service (реализует проект ЖК Newport) возбуждено уголовное дело. По,2026-08-04T12:41:04+05:00,1.1,False,109,0,0,0,False,0,,только факт
6,"должностных, отношении, уголовное, прокуратура, logistics, сноса",Kun.uz,telegram,https://t.me/kunuzru/73558,В Ташкенте расследуют незаконный снос дома и самовольное строительство,2026-08-04T14:19:58+05:00,2.8,False,88,2,1,0,False,0,,контекст
7,"sonet, годовых, uzbekistan, условия, рассрочки, опубликовала",UzNews.uz,telegram,https://t.me/uznews/48587,Kia Uzbekistan опубликовала условия рассрочки платежа,2026-08-04T13:00:48+05:00,0.0,True,37,0,0,0,False,0,,только факт
7,"sonet, годовых, uzbekistan, условия, рассрочки, опубликовала",Repost.uz,telegram,https://t.me/RepostUZ/85134,Kia Uzbekistan опубликовала условия рассрочки платежа на Kia Sonet со ставкой от 0% годовых,2026-08-04T15:01:59+05:00,2.0,False,18,0,0,0,False,0,,только факт
7,"sonet, годовых, uzbekistan, условия, рассрочки, опубликовала",Gazeta.uz,telegram,https://t.me/gazetauz/63341,В Kia Uzbekistan рассказали об условиях приобретения Kia Sonet в рассрочку по ставке от 0%,2026-08-04T17:00:22+05:00,4.0,False,36,0,0,0,False,0,,только факт
7,"sonet, годовых, uzbekistan, условия, рассрочки, опубликовала",Kun.uz,telegram,https://t.me/kunuzru/73561,Kia Uzbekistan опубликовала условия рассрочки платежа на Kia Sonet со ставкой от 0% годовых,2026-08-04T17:00:40+05:00,4.0,False,53,0,0,0,False,0,,только факт
8,"джизаке, летняя, погибла, управляла, автомобиль, вылетел",Kun.uz,telegram,https://t.me/kunuzru/73575,В Джизаке в ДТП погибла 21-летняя блогерша,2026-08-05T14:27:13+05:00,0.0,True,81,0,0,0,False,0,,только факт
8,"джизаке, летняя, погибла, управляла, автомобиль, вылетел",Repost.uz,telegram,https://t.me/RepostUZ/85183,В Джизаке в аварии погибла 21-летняя блогерша,2026-08-05T16:04:58+05:00,1.6,False,23,0,0,0,False,0,,только факт
8,"джизаке, летняя, погибла, управляла, автомобиль, вылетел",UzNews.uz,telegram,https://t.me/uznews/48612,В Джизаке в ДТП погибла 21-летняя блогерша — видео,2026-08-05T16:25:52+05:00,2.0,False,22,0,0,0,False,0,,только факт
8,"джизаке, летняя, погибла, управляла, автомобиль, вылетел",Podrobno.uz,telegram,https://t.me/podrobno/89478,"В Джизаке в результате ночного ДТП погибла 21-летняя девушка. Автомобиль, которым она управляла, на высокой",2026-08-05T17:42:03+05:00,3.2,False,42,0,0,0,False,0,,только факт
